crop_type,variety_name,company,yield_potential,price_kg,suitable_regions,disease_resistance,special_features
Millet,Prime MIL626,Syngenta,4.19,87.22,"Haryana, West Bengal, Kerala",Moderate,"Pest Resistant, Drought Tolerant"
Cotton,Super COT327,IFFCO,6.2,36.25,"Maharashtra, Telangana",Moderate,"High Oil Content, Flood Resistant"
Mustard,Max MUS474,Monsanto,5.58,105.61,"Maharashtra, Haryana, West Bengal, Punjab",High,High Sugar Recovery
Onion,Super ONI438,Pioneer,7.89,65.86,"Bihar, Haryana",Low,High Oil Content
Mustard,Max MUS704,Pioneer,6.85,32.28,"Rajasthan, Andhra Pradesh, Punjab, Maharashtra",High,"High Protein Content, Good Milling Quality"
Cotton,Prime COT352,Syngenta,7.83,97.99,"Bihar, Karnataka, Gujarat, Odisha",High,"Heat Tolerant, Export Quality, Good Milling Quality"
Potato,Pro POT911,Pioneer,4.32,98.75,"Madhya Pradesh, Tamil Nadu",Moderate,"High Sugar Recovery, Early Maturing"
Onion,Pro ONI799,Syngenta,5.06,100.84,"Madhya Pradesh, West Bengal, Kerala",Moderate,"High Protein Content, Drought Tolerant, Export Quality"
Sugarcane,Ultra SUG332,Mahyco,6.14,113.89,"West Bengal, Bihar",Moderate,"High Oil Content, Drought Tolerant, Pest Resistant"
Banana,Prime BAN890,IFFCO,3.55,73.08,"Odisha, Maharashtra",High,"Early Maturing, High Protein Content"
Pulses,Hybrid PUL167,Pioneer,2.97,108.67,"Karnataka, Kerala, Madhya Pradesh",Moderate,Pest Resistant
Barley,Hybrid BAR276,Bayer CropScience,7.08,116.96,"Karnataka, Gujarat, Madhya Pradesh",Low,"Export Quality, High Oil Content"
Mustard,Super MUS759,Advanta,7.49,118.7,"Rajasthan, Andhra Pradesh, Telangana",Low,"Early Maturing, Pest Resistant"
Pulses,Ultra PUL674,Nuziveedu Seeds,5.25,20.89,"Rajasthan, Bihar, Madhya Pradesh",High,Export Quality
Tea,Gold TEA323,Bayer CropScience,4.56,101.25,"Rajasthan, Maharashtra, Telangana",Low,High Protein Content
Wheat,Prime WHE586,IFFCO,3.78,50.93,"Bihar, Gujarat, Maharashtra, Rajasthan",High,"Pest Resistant, Early Maturing, Export Quality"
Sugarcane,Super SUG602,Bayer CropScience,4.89,41.24,"Maharashtra, West Bengal",Moderate,Drought Tolerant
Soybean,Max SOY766,Bayer CropScience,5.87,50.07,"Gujarat, Punjab, Haryana, Bihar",Moderate,"Heat Tolerant, High Oil Content, Pest Resistant"
Wheat,Ultra WHE947,Mahyco,2.82,79.95,"Haryana, Madhya Pradesh, Kerala, West Bengal",Moderate,"Pest Resistant, Flood Resistant"
Pulses,Pro PUL876,IFFCO,3.96,92.47,"Rajasthan, Bihar",High,"Good Milling Quality, Early Maturing"
Chickpea,Pro CHI472,Kaveri Seeds,2.73,111.71,"Gujarat, Odisha, Telangana, Maharashtra",Low,Heat Tolerant
Tea,Hybrid TEA998,Syngenta,5.52,77.75,"Andhra Pradesh, Bihar, Telangana",Low,"High Protein Content, High Sugar Recovery"
Sunflower,Ultra SUN704,Kaveri Seeds,2.83,49.14,"Maharashtra, Madhya Pradesh, Bihar, West Bengal",Moderate,"Drought Tolerant, Early Maturing"
Chickpea,Gold CHI103,Bayer CropScience,2.52,76.56,"Uttar Pradesh, Kerala, Karnataka",High,High Protein Content
Pea,Super PEA748,Monsanto,6.82,69.34,"Telangana, Tamil Nadu",Moderate,"Good Milling Quality, High Oil Content"
Wheat,Pro WHE716,Pioneer,2.7,84.44,"Punjab, Karnataka",High,"Heat Tolerant, Early Maturing, High Oil Content"
Onion,Pro ONI151,Mahyco,5.01,103.1,"Haryana, Odisha",Low,"High Protein Content, Export Quality, High Sugar Recovery"
Barley,Pro BAR320,Monsanto,5.9,32.12,"Uttar Pradesh, Bihar",Low,Flood Resistant
Pulses,Prime PUL379,Nuziveedu Seeds,3.3,100.3,"Punjab, Telangana",Low,"Good Milling Quality, High Oil Content, Drought Tolerant"
Tea,Gold TEA959,Mahyco,7.68,27.7,"Maharashtra, Madhya Pradesh, Andhra Pradesh",Low,"Flood Resistant, Good Milling Quality"
Sorghum,Elite SOR673,Syngenta,3.2,69.22,"Kerala, Karnataka",Low,"Flood Resistant, Early Maturing, High Sugar Recovery"
Sugarcane,Gold SUG928,Advanta,5.92,47.71,"Kerala, Uttar Pradesh, Punjab",Moderate,"Pest Resistant, Good Milling Quality, Early Maturing"
Tomato,Max TOM720,Syngenta,7.21,36.78,"Tamil Nadu, Maharashtra, West Bengal, Gujarat",Moderate,"Flood Resistant, High Protein Content, Early Maturing"
Pulses,Plus PUL419,Nuziveedu Seeds,2.64,103.61,"Madhya Pradesh, Telangana, Rajasthan, Uttar Pradesh",Low,"Early Maturing, Heat Tolerant"
Sorghum,Hybrid SOR436,IFFCO,5.32,94.27,"Gujarat, Rajasthan, Haryana",Moderate,"Pest Resistant, Good Milling Quality"
Rice,Hybrid RIC457,Pioneer,4.78,22.88,"Kerala, Andhra Pradesh",High,"High Oil Content, High Sugar Recovery, Flood Resistant"
Sunflower,Super SUN159,Nuziveedu Seeds,4.23,24.67,"Telangana, Punjab, Haryana",Low,High Sugar Recovery
Maize,Elite MAI268,Syngenta,3.71,25.14,"Maharashtra, Karnataka, West Bengal",High,High Oil Content
Rice,Prime RIC180,Bayer CropScience,5.7,109.19,"Karnataka, Tamil Nadu",Moderate,"High Protein Content, Early Maturing, Drought Tolerant"
Mustard,Gold MUS715,Mahyco,7.39,99.15,"Odisha, Punjab, Karnataka, Uttar Pradesh",High,"Heat Tolerant, Good Milling Quality"
Potato,Ultra POT144,Kaveri Seeds,7.14,80.56,"Bihar, Kerala",Low,Pest Resistant
Onion,Plus ONI775,Kaveri Seeds,7.12,54.15,"Bihar, West Bengal, Rajasthan",Low,"Drought Tolerant, High Oil Content"
Rice,Super RIC770,Pioneer,3.74,42.42,"Kerala, Gujarat",High,"Early Maturing, Export Quality"
Tea,Gold TEA459,Kaveri Seeds,7.48,36.9,"Telangana, Rajasthan, West Bengal",Low,"Drought Tolerant, Good Milling Quality"
Rice,Ultra RIC631,Monsanto,3.46,54.84,"Telangana, Tamil Nadu, Rajasthan",Low,Heat Tolerant
Barley,Plus BAR616,Rasi Seeds,3.25,64.76,"Uttar Pradesh, Odisha, Haryana, Rajasthan",Low,"Flood Resistant, Export Quality"
Mustard,Pro MUS879,Monsanto,6.24,107.06,"West Bengal, Karnataka",Low,"Pest Resistant, Early Maturing"
Pea,Ultra PEA152,Mahyco,3.49,87.22,"Uttar Pradesh, Punjab, Rajasthan",Low,"Pest Resistant, Export Quality"
Rice,Super RIC522,Mahyco,6.99,111.15,"Haryana, Telangana, Tamil Nadu",Moderate,"Heat Tolerant, Good Milling Quality, Flood Resistant"
Sorghum,Gold SOR662,Monsanto,7.3,61.89,"Karnataka, Maharashtra, Gujarat",Moderate,"High Protein Content, Pest Resistant, Flood Resistant"
Soybean,Plus SOY129,Nuziveedu Seeds,4.16,73.18,"Madhya Pradesh, West Bengal",Moderate,Drought Tolerant
Millet,Plus MIL291,Rasi Seeds,3.42,63.58,"Odisha, Bihar, West Bengal, Kerala",Moderate,Early Maturing
Mustard,Prime MUS900,Bayer CropScience,4.93,62.2,"Karnataka, Bihar",Moderate,"Early Maturing, High Oil Content"
Sunflower,Ultra SUN181,Nuziveedu Seeds,4.93,45.01,"Odisha, Tamil Nadu, Maharashtra",Low,"Drought Tolerant, Flood Resistant, High Sugar Recovery"
Barley,Gold BAR320,Monsanto,4.28,60.46,"Andhra Pradesh, Karnataka, Madhya Pradesh, Bihar",Moderate,"High Protein Content, Good Milling Quality, Export Quality"
Barley,Pro BAR699,Nuziveedu Seeds,3.91,79.85,"Madhya Pradesh, Kerala",High,"Flood Resistant, Export Quality, Drought Tolerant"
Sorghum,Plus SOR440,Rasi Seeds,6.26,39.51,"West Bengal, Punjab",Moderate,"High Protein Content, Early Maturing, High Sugar Recovery"
Sorghum,Elite SOR952,Nuziveedu Seeds,2.73,99.36,"Gujarat, Tamil Nadu",Moderate,Heat Tolerant
Mustard,Prime MUS886,Pioneer,5.52,65.37,"Telangana, West Bengal, Gujarat",Moderate,"High Protein Content, Export Quality"
Wheat,Pro WHE111,Monsanto,3.97,108.87,"Telangana, Tamil Nadu, Bihar, Uttar Pradesh",High,Drought Tolerant
Maize,Elite MAI497,Mahyco,5.85,53.14,"Odisha, Tamil Nadu, Rajasthan",High,"Pest Resistant, Drought Tolerant, Good Milling Quality"
Soybean,Prime SOY952,IFFCO,3.76,75.45,"Uttar Pradesh, Punjab, Madhya Pradesh",Low,"High Sugar Recovery, Good Milling Quality, Pest Resistant"
Pea,Plus PEA719,Syngenta,7.05,116.78,"Rajasthan, Haryana",High,"Drought Tolerant, Good Milling Quality, Early Maturing"
Cotton,Max COT771,Advanta,6.06,40.94,"Andhra Pradesh, Odisha, Kerala",High,Flood Resistant
Sorghum,Super SOR772,Monsanto,6.81,44.95,"Kerala, Andhra Pradesh, Tamil Nadu, Madhya Pradesh",High,Heat Tolerant
Mustard,Plus MUS450,Syngenta,4.25,62.1,"Tamil Nadu, Haryana, Maharashtra, Rajasthan",Low,"Drought Tolerant, High Oil Content, High Sugar Recovery"
Onion,Max ONI473,Pioneer,7.69,105.2,"Tamil Nadu, West Bengal",High,"Export Quality, High Sugar Recovery, Heat Tolerant"
Potato,Max POT545,Syngenta,3.69,31.85,"Andhra Pradesh, Odisha, Gujarat",High,Early Maturing
Potato,Super POT165,Pioneer,2.58,106.72,"Tamil Nadu, Bihar",High,"High Oil Content, Early Maturing"
Sunflower,Max SUN587,Kaveri Seeds,3.94,56.94,"Andhra Pradesh, Tamil Nadu, West Bengal, Rajasthan",Low,"Early Maturing, High Protein Content"
Sugarcane,Gold SUG677,Advanta,3.79,44.38,"Kerala, Bihar",Moderate,Early Maturing
Sunflower,Hybrid SUN782,Advanta,3.88,103.78,"Tamil Nadu, Telangana",High,Good Milling Quality
Sorghum,Gold SOR871,Advanta,3.61,70.35,"Punjab, Uttar Pradesh, Rajasthan",Low,Early Maturing
Pea,Gold PEA903,Kaveri Seeds,3.77,82.47,"Tamil Nadu, Gujarat",Low,Export Quality
Barley,Gold BAR456,Advanta,6.08,87.68,"Rajasthan, Punjab, Gujarat",Moderate,"Heat Tolerant, Drought Tolerant, Early Maturing"
Onion,Pro ONI662,Syngenta,5.81,88.43,"Gujarat, Karnataka",Moderate,Good Milling Quality
Tea,Plus TEA995,Pioneer,4.81,100.09,"Uttar Pradesh, Maharashtra, Madhya Pradesh, Tamil Nadu",High,"Drought Tolerant, Heat Tolerant"
Barley,Gold BAR433,Bayer CropScience,4.76,77.9,"Tamil Nadu, Andhra Pradesh",Moderate,Drought Tolerant
Sugarcane,Ultra SUG440,IFFCO,4.47,101.55,"Rajasthan, Andhra Pradesh, Punjab",Low,"High Sugar Recovery, High Protein Content"
Sugarcane,Elite SUG536,Pioneer,7.8,49.23,"Maharashtra, Uttar Pradesh, Rajasthan, Odisha",High,"Drought Tolerant, Early Maturing"
Sugarcane,Hybrid SUG931,Syngenta,7.0,39.91,"Haryana, Tamil Nadu, West Bengal, Rajasthan",Moderate,Early Maturing
Pulses,Max PUL143,Monsanto,3.19,49.97,"Bihar, Andhra Pradesh, West Bengal",Low,"Drought Tolerant, Flood Resistant"
Maize,Hybrid MAI660,Syngenta,4.66,28.17,"Odisha, Uttar Pradesh, Telangana, Punjab",High,"Export Quality, High Oil Content"
Millet,Max MIL553,Mahyco,7.06,46.8,"Punjab, Odisha",Low,Heat Tolerant
Onion,Prime ONI723,Monsanto,4.14,57.77,"West Bengal, Maharashtra, Odisha",Moderate,"Heat Tolerant, Drought Tolerant, Pest Resistant"
Soybean,Max SOY907,Pioneer,4.51,22.87,"Rajasthan, Kerala, Andhra Pradesh",Moderate,Heat Tolerant
Pea,Prime PEA675,Nuziveedu Seeds,4.33,69.94,"Punjab, Telangana, Tamil Nadu",Low,"Early Maturing, High Sugar Recovery"
Barley,Ultra BAR948,Syngenta,2.74,75.1,"Telangana, Uttar Pradesh, Odisha, Punjab",High,Heat Tolerant
Cotton,Ultra COT415,Syngenta,4.23,49.45,"Madhya Pradesh, West Bengal, Punjab, Telangana",High,High Sugar Recovery
Soybean,Ultra SOY177,Monsanto,5.12,105.35,"Odisha, Bihar",Moderate,"Heat Tolerant, High Oil Content"
Chickpea,Pro CHI468,Bayer CropScience,5.35,58.29,"Uttar Pradesh, Bihar, Andhra Pradesh, Gujarat",Moderate,"Export Quality, Good Milling Quality"
Barley,Max BAR705,Syngenta,5.12,75.61,"Karnataka, Odisha, Kerala",Moderate,"Drought Tolerant, Flood Resistant"
Soybean,Max SOY927,IFFCO,7.25,73.06,"Gujarat, West Bengal, Haryana",High,"Export Quality, High Protein Content"
Barley,Ultra BAR517,Monsanto,3.42,99.43,"Haryana, Gujarat, Tamil Nadu",Moderate,"Pest Resistant, Early Maturing, Good Milling Quality"
Sorghum,Elite SOR672,Monsanto,4.68,84.32,"Odisha, Madhya Pradesh, Gujarat, Punjab",Moderate,Heat Tolerant
Millet,Ultra MIL568,Kaveri Seeds,6.72,39.99,"Uttar Pradesh, Haryana, Punjab",High,"High Protein Content, Early Maturing, High Sugar Recovery"
Sorghum,Prime SOR931,Monsanto,7.65,22.48,"Odisha, Gujarat",Low,"Drought Tolerant, Good Milling Quality, High Sugar Recovery"
Barley,Max BAR834,Rasi Seeds,3.79,84.51,"Madhya Pradesh, Odisha, West Bengal",Low,Heat Tolerant
Soybean,Super SOY876,Rasi Seeds,4.2,96.72,"Rajasthan, Telangana, Tamil Nadu, Punjab",High,"High Sugar Recovery, High Protein Content"
Tea,Elite TEA619,Pioneer,6.19,55.66,"Tamil Nadu, Haryana",Low,"Drought Tolerant, Heat Tolerant, High Oil Content"
Barley,Ultra BAR773,IFFCO,5.93,66.09,"Andhra Pradesh, Punjab, Odisha",High,"Pest Resistant, Export Quality, High Sugar Recovery"
Soybean,Max SOY615,Bayer CropScience,3.08,45.01,"Karnataka, West Bengal, Tamil Nadu",Moderate,"High Sugar Recovery, High Oil Content, Export Quality"
Cotton,Elite COT948,Nuziveedu Seeds,3.3,77.64,"Rajasthan, West Bengal, Andhra Pradesh, Karnataka",High,"Flood Resistant, Heat Tolerant"
Maize,Elite MAI306,Advanta,4.8,36.9,"Karnataka, Gujarat",High,"High Oil Content, Pest Resistant"
Groundnut,Plus GRO360,Nuziveedu Seeds,4.65,79.35,"Karnataka, Maharashtra, Odisha",Moderate,Early Maturing
Banana,Gold BAN657,Syngenta,3.48,90.96,"Bihar, Uttar Pradesh, Kerala, Rajasthan",Moderate,High Protein Content
Pulses,Prime PUL338,Nuziveedu Seeds,5.67,58.29,"Odisha, Rajasthan, Punjab",Moderate,Drought Tolerant
Chickpea,Max CHI581,Mahyco,5.53,102.26,"Uttar Pradesh, Haryana, West Bengal, Rajasthan",High,"High Sugar Recovery, Heat Tolerant"
Maize,Plus MAI691,IFFCO,7.86,79.01,"Kerala, Maharashtra, Bihar",Low,"Early Maturing, Drought Tolerant"
Banana,Pro BAN888,Mahyco,6.26,26.82,"Maharashtra, West Bengal, Haryana, Madhya Pradesh",High,High Oil Content
Mustard,Hybrid MUS641,Rasi Seeds,4.78,70.64,"Punjab, Gujarat",High,"Drought Tolerant, High Protein Content"
Wheat,Prime WHE709,Rasi Seeds,6.47,112.57,"Haryana, Gujarat",Low,Flood Resistant
Soybean,Pro SOY948,Monsanto,5.89,111.81,"Gujarat, Maharashtra, Madhya Pradesh",High,"High Sugar Recovery, High Protein Content"
Pea,Super PEA766,Bayer CropScience,6.9,27.16,"West Bengal, Rajasthan",High,"Flood Resistant, Early Maturing, Export Quality"
Cotton,Elite COT190,Syngenta,5.02,68.29,"Uttar Pradesh, Haryana",Moderate,"Early Maturing, High Protein Content, Heat Tolerant"
Potato,Gold POT335,Advanta,7.39,48.47,"Punjab, Gujarat",Moderate,High Sugar Recovery
Soybean,Prime SOY621,Bayer CropScience,6.94,28.52,"Uttar Pradesh, Andhra Pradesh",High,"Heat Tolerant, High Protein Content"
Mustard,Gold MUS585,Nuziveedu Seeds,2.91,80.79,"Bihar, Tamil Nadu, Haryana, Gujarat",Moderate,High Sugar Recovery
Tea,Pro TEA448,Monsanto,6.86,67.53,"Bihar, Punjab, West Bengal, Gujarat",High,"High Sugar Recovery, Flood Resistant, High Oil Content"
Banana,Super BAN364,Nuziveedu Seeds,6.48,31.72,"Kerala, Punjab",Low,"Heat Tolerant, High Sugar Recovery"
Barley,Ultra BAR759,Bayer CropScience,3.41,109.69,"Punjab, Bihar, Telangana, Karnataka",Moderate,Heat Tolerant
Sunflower,Prime SUN101,Mahyco,2.61,111.76,"Telangana, Madhya Pradesh, Haryana",High,"Drought Tolerant, Pest Resistant, High Oil Content"
Soybean,Prime SOY902,Syngenta,5.48,102.14,"Tamil Nadu, Maharashtra",Moderate,"Pest Resistant, Drought Tolerant"
Potato,Ultra POT202,Kaveri Seeds,5.44,39.3,"Gujarat, Rajasthan",Moderate,High Sugar Recovery
Mustard,Max MUS299,Advanta,7.98,48.28,"Bihar, Gujarat, Andhra Pradesh, Rajasthan",High,"Drought Tolerant, Heat Tolerant"
Groundnut,Hybrid GRO560,Bayer CropScience,7.17,37.25,"Maharashtra, Uttar Pradesh, Karnataka, Gujarat",Low,"Early Maturing, High Protein Content, Flood Resistant"
Tea,Elite TEA244,Mahyco,6.25,112.55,"West Bengal, Haryana, Gujarat",Moderate,"High Oil Content, Good Milling Quality"
Soybean,Ultra SOY724,Monsanto,5.48,81.7,"West Bengal, Karnataka",High,"High Sugar Recovery, Good Milling Quality"
Onion,Prime ONI774,IFFCO,5.15,58.65,"Rajasthan, Karnataka, Uttar Pradesh, Tamil Nadu",Moderate,"Heat Tolerant, High Oil Content, Drought Tolerant"
Sorghum,Ultra SOR243,Rasi Seeds,6.74,49.95,"Tamil Nadu, Bihar, Uttar Pradesh",Low,"Pest Resistant, Flood Resistant, Heat Tolerant"
Rice,Super RIC705,Rasi Seeds,2.62,67.32,"Madhya Pradesh, Andhra Pradesh, Gujarat, Punjab",Low,"High Oil Content, Heat Tolerant"
Potato,Ultra POT227,Kaveri Seeds,3.68,71.87,"Odisha, Karnataka, Haryana, Bihar",Moderate,"Drought Tolerant, Early Maturing"
Sunflower,Max SUN167,Syngenta,6.92,62.27,"Kerala, Madhya Pradesh, Karnataka",High,Flood Resistant
Barley,Ultra BAR653,Mahyco,5.16,64.31,"Madhya Pradesh, Telangana, Andhra Pradesh, Tamil Nadu",Low,"High Protein Content, Pest Resistant, Good Milling Quality"
Pulses,Super PUL583,Kaveri Seeds,7.1,34.82,"Madhya Pradesh, Punjab, West Bengal",High,Pest Resistant
Potato,Elite POT627,Kaveri Seeds,7.28,89.13,"Andhra Pradesh, Karnataka, Rajasthan, Punjab",High,"High Oil Content, High Sugar Recovery"
Pulses,Max PUL301,Nuziveedu Seeds,7.12,76.8,"Haryana, Tamil Nadu, Telangana",High,"High Oil Content, High Protein Content, Flood Resistant"
Sorghum,Max SOR292,Advanta,4.13,64.04,"Rajasthan, Andhra Pradesh",Moderate,"High Oil Content, Good Milling Quality, Flood Resistant"
Pulses,Max PUL608,Bayer CropScience,7.31,57.61,"Kerala, Karnataka",Moderate,Heat Tolerant
Sugarcane,Pro SUG928,Mahyco,7.77,104.71,"Bihar, Kerala",High,"Drought Tolerant, Early Maturing, High Sugar Recovery"
Pea,Plus PEA893,IFFCO,5.53,111.36,"Telangana, Madhya Pradesh",Moderate,Heat Tolerant
Groundnut,Super GRO387,Pioneer,6.54,30.31,"Telangana, Gujarat",Moderate,"High Sugar Recovery, Good Milling Quality"
Rice,Hybrid RIC758,Bayer CropScience,2.97,97.36,"West Bengal, Gujarat, Uttar Pradesh",Moderate,"Drought Tolerant, Early Maturing"
Soybean,Elite SOY174,Syngenta,7.66,42.43,"Tamil Nadu, Andhra Pradesh, Haryana, West Bengal",Moderate,Good Milling Quality
Groundnut,Plus GRO984,Nuziveedu Seeds,6.11,113.56,"Andhra Pradesh, Punjab",Moderate,"High Oil Content, Early Maturing, Flood Resistant"
Wheat,Super WHE903,Pioneer,6.48,116.34,"Rajasthan, Odisha, Punjab, Madhya Pradesh",High,"Early Maturing, High Oil Content, High Protein Content"
Tea,Super TEA930,Mahyco,7.86,20.67,"Rajasthan, Madhya Pradesh, Maharashtra, Uttar Pradesh",High,"Flood Resistant, High Protein Content"
Sunflower,Super SUN324,Monsanto,5.39,113.51,"Uttar Pradesh, Bihar, Maharashtra",Low,Export Quality
Wheat,Elite WHE310,Nuziveedu Seeds,3.97,34.42,"Kerala, Punjab",High,"Pest Resistant, Drought Tolerant"
Tea,Plus TEA412,Rasi Seeds,6.45,21.29,"Haryana, Andhra Pradesh, Madhya Pradesh, Uttar Pradesh",High,"High Protein Content, Early Maturing, Export Quality"
Banana,Elite BAN836,Monsanto,4.55,90.99,"Gujarat, Uttar Pradesh, Kerala, Karnataka",Moderate,High Sugar Recovery
Sugarcane,Elite SUG252,Monsanto,6.32,76.53,"Madhya Pradesh, Odisha, Karnataka",Moderate,"Heat Tolerant, Drought Tolerant"
Onion,Gold ONI839,IFFCO,4.49,89.09,"Karnataka, Rajasthan, Telangana, West Bengal",Moderate,High Sugar Recovery
Pea,Ultra PEA784,Kaveri Seeds,4.56,42.02,"Haryana, Gujarat, Punjab",Low,"High Oil Content, Flood Resistant, Export Quality"
Tomato,Elite TOM157,IFFCO,4.47,36.49,"Tamil Nadu, Punjab",Moderate,"High Protein Content, Heat Tolerant"
Cotton,Pro COT927,Pioneer,3.25,50.88,"Rajasthan, Gujarat, Karnataka, Uttar Pradesh",High,"Flood Resistant, Export Quality, Heat Tolerant"
Tomato,Pro TOM800,Advanta,4.97,84.02,"Bihar, Rajasthan, Tamil Nadu, Kerala",Moderate,"High Oil Content, High Protein Content"
Chickpea,Elite CHI268,IFFCO,5.32,29.63,"Uttar Pradesh, Kerala, Gujarat",Moderate,"High Protein Content, High Sugar Recovery, Early Maturing"
